Category: All categories,
,
Week,unemployment: (United States)
2017-05-28,4
2017-06-04,4
2017-06-11,4
2017-06-18,4
2017-06-25,4
2017-07-02,4
2017-07-09,4
2017-07-16,4
2017-07-23,4
2017-07-30,4
2017-08-06,4
2017-08-13,4
2017-08-20,4
2017-08-27,4
2017-09-03,4
2017-09-10,4
2017-09-17,4
2017-09-24,4
2017-10-01,4
2017-10-08,4
2017-10-15,4
2017-10-22,4
2017-10-29,4
2017-11-05,4
2017-11-12,4
2017-11-19,3
2017-11-26,4
2017-12-03,4
2017-12-10,4
2017-12-17,5
2017-12-24,5
2017-12-31,6
2018-01-07,6
2018-01-14,6
2018-01-21,6
2018-01-28,6
2018-02-04,5
2018-02-11,4
2018-02-18,4
2018-02-25,4
2018-03-04,4
2018-03-11,4
2018-03-18,4
2018-03-25,4
2018-04-01,4
2018-04-08,4
2018-04-15,4
2018-04-22,4
2018-04-29,4
2018-05-06,4
2018-05-13,4
2018-05-20,4
2018-05-27,4
2018-06-03,4
2018-06-10,4
2018-06-17,4
2018-06-24,4
2018-07-01,4
2018-07-08,4
2018-07-15,4
2018-07-22,4
2018-07-29,4
2018-08-05,4
2018-08-12,4
2018-08-19,3
2018-08-26,3
2018-09-02,3
2018-09-09,4
2018-09-16,3
2018-09-23,3
2018-09-30,4
2018-10-07,4
2018-10-14,4
2018-10-21,4
2018-10-28,4
2018-11-04,4
2018-11-11,4
2018-11-18,3
2018-11-25,4
2018-12-02,4
2018-12-09,4
2018-12-16,4
2018-12-23,4
2018-12-30,5
2019-01-06,6
2019-01-13,5
2019-01-20,5
2019-01-27,5
2019-02-03,5
2019-02-10,5
2019-02-17,4
2019-02-24,4
2019-03-03,4
2019-03-10,4
2019-03-17,4
2019-03-24,4
2019-03-31,4
2019-04-07,4
2019-04-14,4
2019-04-21,4
2019-04-28,4
2019-05-05,4
2019-05-12,4
2019-05-19,4
2019-05-26,3
2019-06-02,4
2019-06-09,4
2019-06-16,4
2019-06-23,4
2019-06-30,4
2019-07-07,4
2019-07-14,4
2019-07-21,4
2019-07-28,4
2019-08-04,4
2019-08-11,4
2019-08-18,4
2019-08-25,3
2019-09-01,3
2019-09-08,3
2019-09-15,3
2019-09-22,4
2019-09-29,4
2019-10-06,4
2019-10-13,4
2019-10-20,4
2019-10-27,4
2019-11-03,4
2019-11-10,4
2019-11-17,4
2019-11-24,3
2019-12-01,4
2019-12-08,4
2019-12-15,4
2019-12-22,4
2019-12-29,5
2020-01-05,5
2020-01-12,5
2020-01-19,5
2020-01-26,5
2020-02-02,5
2020-02-09,5
2020-02-16,4
2020-02-23,4
2020-03-01,4
2020-03-08,5
2020-03-15,40
2020-03-22,74
2020-03-29,100
2020-04-05,92
2020-04-12,92
2020-04-19,84
2020-04-26,78
2020-05-03,67
2020-05-10,64
2020-05-17,64
2020-05-24,66
